nu,fnu
90535874930064.88,0.01870714122517049
93358536763282.05,0.012945590437981571
96269201499556.73,0.011301271136467768
99270612829562.58,0.012988235721109409
102365599984770.69,0.024523268401927003
105557080404378.78,0.028348061798538424
108848062485387.27,0.02807819044026001
112241648418416.2,0.027794204497117968
115741037111934.39,0.02630442964716515
119349527207658.12,0.025022165044213958
123070520189962.58,0.028886287131914223
126907523592235.22,0.03125159998429433
130864154303194.95,0.0345710326358001
134944141976293.61,0.03477836868414722
139151332545412.77,0.035955760492899565
143489691850170.62,0.03716159575564837
147963309374256.3,0.0386214685232123
152576402100314.66,0.04116555523887963
157333318485016.6,0.04658325826586366
162238542558060.56,0.043846152446187094
167296698148970.3,0.042943812994792135
172512553245672.22,0.05015585888972057
177891024488961.53,0.04801020488000897
183437181807093.88,0.04150216834319093
189156253194869.8,0.03236129890087774
195053629641719.72,0.029473003357925437
201134870213431.75,0.025070624089828054
207405707292314.38,0.02217478593369381
213872051980733.72,0.031114964739232996
220539999673117.3,0.038559421276708965
227415835801678.34,0.032069064367129474
234506041761276.4,0.02523518054228435
241817301018998.2,0.018188586800929885
249356505414219.0,0.017308495501252952
257130761655082.8,0.019842708060191887
265147398017524.72,0.017168147334098317
273413971253151.25,0.014206752735231863
281938273712488.44,0.020441040253439204
290728340690314.75,0.016879099163422902
299792457999999.94,0.01915016283283691
309139169783992.9,0.01191550177250372
318777286567817.56,0.007926025061442403
328715893565171.5,0.012139167955081373
338964359241954.4,0.012828861780190956
349532344147299.8,0.010764168664611662
360429810019934.5,0.007712080367915986
371667029178448.7,0.00484645623559781
383254594204330.25,0.00840171375183216
395203427926888.5,0.007604879945283887
407524793719482.0,0.004783388700424846
420230306116752.4,0.0038440814630896214
433331941762877.94,0.004345090185238904
446842050701161.06,0.003940637240956825
460773368015595.06,0.002776527127630067
475139025835384.1,0.0027748809251628187
489952565713730.75,0.0023814167575977436
505227951392559.75,0.0013736413320716667
520979581965212.1,0.0021130076282930067
537222305449516.9,0.0010243825591556995
553971432784030.6,0.0010333208540922142
571242752260646.5,0.0013327749472732803
589052544407169.5,0.0003076040025281453
607417597333889.5,0.0008124379741873833
626355222558622.0,0.000733104059516133
645883271325126.4,0.00011467531403524751
666020151430290.6,0.00032886587849527735
686784844575941.1,0.00011373058767428365
708196924261633.9,7.713175586121954e-05
730276574235296.0,5.07215595865558e-05
753044607519105.6,3.2518421166384756e-05
776522486028548.4,2.0081491714800163e-05
800732340803142.1,1.2023545091186387e-05
825696992867901.5,6.927282278124267e-06
851439974745204.1,3.8219179481253635e-06
877985552637339.2,2.0307638359876856e-06
905358749300649.0,1.0215574958696805e-06
933585367632820.4,4.925321447854097e-07
962692014995567.2,2.242951753115613e-07
992706128295625.8,9.622490517398228e-08
1023655999847707.2,3.9090899963179025e-08
1055570804043787.8,1.4680210403946858e-08
1088480624853872.8,5.212662989974672e-09
1122416484184162.4,1.703250215480756e-09
1157410371119343.8,5.137436808805276e-10
1193495272076581.2,1.433992611017319e-10
1230705201899626.2,3.5886073475951213e-11
1269075235922352.5,8.353813841190357e-12
1308641543031950.0,1.727475372036309e-12
1349441419762936.2,3.2202133072523386e-13
1391513325454127.8,5.385815724314583e-14
1434896918501706.5,7.78987288466463e-15
1479633093742563.0,1.0248443277594352e-15
1525764021003147.0,1.144116401407592e-16
1573333184850165.8,1.1229206254870537e-17
1622385425580605.5,9.49365430107719e-19
1672966981489703.0,6.635787905617656e-20
1725125532456722.2,4.116023837929369e-21
1778910244889616.0,2.0348720317182722e-22
1834371818070939.0,8.659817878869034e-24
1891562531948698.2,3.0055468951409152e-25
1950536296417197.8,8.159232813765066e-27
2011348702134317.8,1.9168276623605915e-28
2074057072923145.0,3.283107444640285e-30
2138720519807338.0,4.8164464884680116e-32
2205399996731173.0,5.335546782645947e-34
2274158358016784.0,4.3248019045806296e-36
2345060417612765.0,2.964438816061014e-38
2418173010189983.0,1.2965887796894303e-40
2493565054142191.0,5.041315556422966e-43
2571307616550829.0,1.3187303458137501e-45
2651473980175248.5,2.3362920522313132e-48
2734139712531513.0,3.4377330608190036e-51
2819382737124885.5,2.6112401119089995e-54
2907283406903147.0,2.022234624411547e-57
2997924579999999.5,8.607871832612233e-61
