    Wavelength  Flux
    microns     Jy
   55.0809  879.6948
   55.2188  881.2803
   55.3570  881.8674
   55.4956  883.8043
   55.6345  887.4682
   55.7737  892.0170
   55.9133  895.5547
   56.0533  898.6058
   56.1936  900.3792
   56.3343  902.3136
   56.4753  904.2231
   56.6166  905.5773
   56.7584  906.6769
   56.9004  908.3099
   57.0429  909.1123
   57.1857  917.8945
   57.3288  926.0098
   57.4723  930.6453
   57.6162  931.2741
   57.7604  931.9607
   57.9050  932.4555
   58.0499  932.5726
   58.1952  932.6396
   58.3409  932.7013
   58.4869  933.4758
   58.6333  935.0733
   58.7801  937.3912
   58.9272  939.6441
   59.0747  941.8625
   59.2226  944.2880
   59.3708  946.8680
   59.5195  949.9863
   59.6684  953.0774
   59.8178  955.6191
   59.9675  957.0430
   60.1176  957.1894
   60.2681  957.1151
   60.4190  958.6102
   60.5702  961.1582
   60.7218  964.4427
   60.8738  967.7099
   61.0262  970.6914
   61.1790  973.5366
   61.3321  977.1895
   61.4856  981.1052
   61.6395  985.5646
   61.7938  988.1927
   61.9485  990.0745
   62.1036  990.9419
   62.2590  991.7681
   62.4148  992.2023
   62.5711  993.8551
   62.7277  994.7593
   62.8847  995.6324
   63.0421 1001.1653
   63.1999 1007.3599
   63.3581 1009.2527
   63.5167 1006.8300
   63.6757 1004.7315
   63.8351 1003.3364
   63.9949 1003.0578
   64.1551 1003.2710
   64.3157 1005.3256
   64.4767 1007.7356
   64.6380 1008.8906
   64.7998 1009.2615
   64.9620 1008.1341
   65.1247 1005.1782
   65.2877 1001.9839
   65.4511  998.4977
   65.6149  993.9276
   65.7792  991.0950
   65.9438  989.2529
   66.1089  988.0960
   66.2744  987.0716
   66.4403  985.3528
   66.6066  982.9728
   66.7733  980.8152
   66.9404  978.6837
   67.1080  976.4460
   67.2760  974.4222
   67.4444  973.1979
   67.6132  972.3781
   67.7824  971.6888
   67.9521  970.4926
   68.1222  968.5953
   68.2927  968.5371
   68.4637  972.4767
   68.6350  981.5271
   68.8068  987.7744
   68.9791  988.1046
   69.1517  980.6265
   69.3248  966.0840
   69.4984  952.6466
   69.6723  942.0649
   69.8467  935.1583
   70.0216  929.8950
   70.1968  925.1191
   70.3726  920.4706
   70.5487  916.1372
   70.7253  912.3345
   70.9023  908.6486
   71.0798  904.9846
   71.2577  900.0834
   71.4361  893.4653
   71.6149  887.6757
   71.7942  883.2879
   71.9739  879.8157
   72.1540  878.4717
   72.3346  877.3344
   72.5157  875.6461
   72.6972  871.6790
   72.8792  867.5081
   73.0616  863.7278
   73.2445  861.0096
   73.4278  860.4794
   73.6116  860.2755
   73.7959  859.1357
   73.9806  857.1020
   74.1658  854.6036
   74.3515  853.0372
   74.5376  850.7477
   74.7241  846.7062
   74.9112  841.8333
   75.0987  838.1104
   75.2867  836.0018
   75.4751  836.6287
   75.6641  837.7355
   75.8535  838.5287
   76.0433  838.4823
   76.2337  838.8098
   76.4245  839.2648
   76.6158  839.6624
   76.8076  837.6216
   76.9998  836.2301
   77.1926  834.0024
   77.3858  832.5557
   77.5795  830.0328
   77.7737  828.1150
   77.9684  824.4790
   78.1635  821.3297
   78.3592  817.8376
   78.5553  815.9873
   78.7520  815.5895
   78.9491  816.5550
   79.1467  818.8167
   79.3448  817.5629
   79.5434  815.5303
   79.7425  813.3456
   79.9422  810.5444
   80.1423  808.4694
   80.3429  807.2413
   80.5440  805.3200
   80.7456  803.4576
   80.9477  801.2681
   81.1503  799.1937
   81.3535  797.4172
   81.5571  795.4833
   81.7612  793.3027
   81.9659  790.0453
   82.1711  785.7814
   82.3768  781.0819
   82.5830  778.7972
   82.7897  780.0399
   82.9969  784.2830
   83.2047  788.4890
   83.4129  792.2206
   83.6217  792.0959
   83.8310  790.8594
   84.0409  790.6837
   84.2512  790.5798
   84.4621  789.7162
   84.6736  786.5872
   84.8855  783.3894
   85.0980  781.3900
   85.3110  782.6516
   85.5245  785.1640
   85.7386  786.5841
   85.9532  785.9227
   86.1684  782.6709
   86.3841  778.9280
   86.6003  774.9976
   86.8171  771.6536
   87.0344  769.0101
   87.2523  768.2443
   87.4707  770.1536
   87.6896  771.0385
   87.9091  771.0410
   88.1292  768.4302
   88.3497  766.5897
   88.5709  765.4131
   88.7926  763.7509
   89.0149  759.4495
   89.2377  753.5192
   89.4611  747.0704
   89.6850  744.8558
   89.9095  746.1886
   90.1345  749.8057
   90.3602  752.6346
   90.5863  750.6136
   90.8131  745.8899
   91.0404  740.6495
   91.2683  736.6547
   91.4967  736.3395
   91.7258  736.9641
   91.9554  737.6084
   92.1855  735.7567
   92.4163  732.3839
   92.6476  728.2357
   92.8795  723.8284
   93.1120  720.1678
   93.3451  714.3319
   93.5788  708.1588
   93.8130  701.0604
   94.0478  694.8257
   94.2832  690.5831
   94.5192  692.8449
   94.7558  696.5989
   94.9930  700.3892
   95.2308  701.8933
   95.4692  699.4394
   95.7081  695.0252
   95.9477  691.0200
   96.1879  687.8743
   96.4287  684.7281
   96.6700  681.0033
   96.9120  676.3759
   97.1546  672.5601
   97.3978  669.4125
   97.6416  666.0335
   97.8860  662.3539
   98.1310  658.0951
   98.3766  654.0812
   98.6229  650.5954
   98.8698  647.1446
   99.1172  643.3600
   99.3653  639.3842
   99.6141  635.8904
   99.8634  633.1568
  100.1134  631.6180
  100.3640  629.1277
  100.6152  626.2908
  100.8671  623.2327
  101.1195  619.6104
  101.3727  616.3101
  101.6264  614.0609
  101.8808  611.0974
  102.1358  606.1278
  102.3915  601.4755
  102.6478  596.2832
  102.9047  593.1473
  103.1623  591.5613
  103.4205  590.6863
  103.6794  589.5082
  103.9389  587.5319
  104.1991  584.9380
  104.4599  581.8339
  104.7214  578.0726
  104.9835  574.2243
  105.2463  570.7575
  105.5098  567.7444
  105.7739  565.2007
  106.0386  562.8300
  106.3041  560.8514
  106.5702  558.2164
  106.8369  555.3754
  107.1043  551.9869
  107.3724  548.6323
  107.6412  545.6591
  107.9106  543.4416
  108.1808  541.7693
  108.4515  540.1187
  108.7230  537.7215
  108.9952  534.6575
  109.2680  531.4016
  109.5415  528.0900
  109.8157  525.7104
  110.0906  523.5090
  110.3661  520.8456
  110.6424  517.9489
  110.9194  514.5745
  111.1970  512.4745
  111.4753  511.7287
  111.7544  511.4666
  112.0341  509.8589
  112.3146  506.7213
  112.5957  503.0628
  112.8775  499.3036
  113.1601  497.0870
  113.4433  494.5147
  113.7273  492.2128
  114.0120  488.5550
  114.2974  485.3512
  114.5835  482.2335
  114.8703  480.4593
  115.1578  479.2520
  115.4461  477.9000
  115.7350  475.6803
  116.0247  471.6854
  116.3152  467.3939
  116.6063  462.6469
  116.8982  459.2477
  117.1908  457.3042
  117.4842  456.2627
  117.7782  455.6881
  118.0731  454.7715
  118.3686  453.6075
  118.6649  452.4591
  118.9619  452.1311
  119.2597  451.7765
  119.5582  450.4980
  119.8575  447.7387
  120.1575  443.4195
  120.4583  438.8426
  120.7598  434.7187
  121.0621  431.6000
  121.3651  428.4062
  121.6689  424.7091
  121.9735  419.7125
  122.2788  414.6804
  122.5849  410.6402
  122.8917  407.8378
  123.1993  405.5234
  123.5077  404.7304
  123.8169  403.8637
  124.1268  402.6934
  124.4375  401.0712
  124.7490  398.9464
  125.0612  396.2678
  125.3743  394.1193
  125.6881  391.9150
  126.0027  389.3379
  126.3181  385.7970
  126.6343  381.7546
  126.9513  377.2941
  127.2691  373.7177
  127.5876  371.3711
  127.9070  369.7935
  128.2272  367.7313
  128.5482  365.1774
  128.8699  361.6359
  129.1925  358.7217
  129.5159  357.8931
  129.8401  358.4109
  130.1651  359.8245
  130.4909  360.5533
  130.8176  359.8100
  131.1450  357.2679
  131.4733  353.4722
  131.8024  349.1578
  132.1323  345.7156
  132.4630  343.2045
  132.7946  341.7094
  133.1270  340.9720
  133.4602  338.4452
  133.7943  336.4959
  134.1292  334.9053
  134.4650  334.6202
  134.8015  335.1703
  135.1390  334.9201
  135.4772  334.3311
  135.8163  332.5903
  136.1563  331.2214
  136.4971  330.9178
  136.8388  331.5999
  137.1813  331.1962
  137.5247  329.2812
  137.8690  324.8507
  138.2141  319.5712
  138.5600  314.8586
  138.9069  311.2082
  139.2546  309.5471
  139.6031  308.3787
  139.9526  307.4370
  140.3029  306.2767
  140.6541  305.3907
  141.0062  303.5804
  141.3591  301.8192
  141.7130  300.8623
  142.0677  300.0307
  142.4233  298.9040
  142.7798  298.2476
  143.1372  296.8119
  143.4955  295.2248
  143.8547  294.0674
  144.2148  292.7239
  144.5758  290.3918
  144.9377  287.5467
  145.3004  283.6888
  145.6642  278.8122
  146.0288  273.5469
  146.3943  269.7526
  146.7607  267.7414
  147.1281  267.5620
  147.4964  267.7116
  147.8656  267.6490
  148.2357  266.3688
  148.6068  265.2976
  148.9787  264.9503
  149.3517  264.8112
  149.7255  264.3460
  150.1003  262.9983
  150.4760  261.0723
  150.8527  259.6398
  151.2303  258.2368
  151.6088  256.1760
  151.9883  253.3878
  152.3688  250.0018
  152.7502  245.9848
  153.1325  243.4699
  153.5158  241.2014
  153.9001  238.6786
  154.2853  235.6814
  154.6715  232.8416
  155.0587  229.9427
  155.4468  227.3984
  155.8359  225.6352
  156.2260  222.4324
  156.6171  218.5175
  157.0091  213.9703
  157.4021  208.9091
  157.7961  206.0515
  158.1911  206.5884
  158.5871  210.0604
  158.9840  214.0237
  159.3820  216.9040
  159.7809  217.2798
  160.1809  215.3204
  160.5818  211.8877
  160.9838  208.1489
  161.3867  204.6077
  161.7907  202.1865
  162.1957  202.0350
  162.6017  202.2065
  163.0087  201.2030
  163.4167  198.6967
  163.8258  195.8900
  164.2359  193.4353
  164.6470  192.6148
  165.0591  193.0186
  165.4723  193.3733
  165.8865  193.2503
  166.3017  192.5716
  166.7180  190.8433
  167.1353  188.1913
  167.5537  185.6151
  167.9731  183.0148
  168.3935  180.7672
  168.8150  178.9441
  169.2376  176.9810
  169.6612  174.4160
  170.0859  171.8581
  170.5117  170.2913
  170.9385  168.1439
  171.3664  166.1512
  171.7953  164.0307
  172.2253  161.6587
  172.6564  160.4481
  173.0886  159.6932
  173.5219  159.2698
  173.9562  157.6056
  174.3917  156.3194
  174.8282  155.8686
  175.2658  155.9156
  175.7045  156.3498
  176.1443  156.1513
  176.5853  155.5270
  177.0273  154.6271
  177.4704  154.0038
  177.9146  153.6389
  178.3600  152.6434
  178.8064  152.2779
  179.2540  151.9536
  179.7027  152.1322
  180.1525  152.5657
  180.6035  152.2908
  181.0555  150.6411
  181.5087  147.2586
  181.9631  143.2014
  182.4185  139.9292
  182.8752  137.8308
  183.3329  138.7162
  183.7918  140.2885
  184.2519  142.0285
  184.7131  144.7720
  185.1754  147.4167
  185.6390  149.4974
  186.1037  149.6089
  186.5695  148.7468
  187.0365  146.4716
  187.5047  144.5388
  187.9740  144.6978
  188.4445  145.6773
  188.9162  145.4371
  189.3891  145.4783
  189.8632  144.0623
  190.3384  141.9717
  190.8149  139.6136
  191.2925  137.1168
  191.7713  135.0576
  192.2514  133.2702
  192.7326  132.6472
  193.2150  132.2092
  193.6987  130.4839
  194.1835  128.4312
  194.6696  123.2116
  195.1569  118.2053
  195.6454  113.1702
  196.1351  108.6018
  196.6261  104.8004
