      Wavelength  Flux
      microns     Jy
      2.44197    -0.112825
      2.44227   -0.0349454
      2.44258    0.0561900
      2.44288     0.129640
      2.44319     0.162160
      2.44349     0.139326
      2.44380    0.0784193
      2.44410    0.0236155
      2.44441    0.0156501
      2.44471    0.0515957
      2.44502    0.0995979
      2.44533     0.121030
      2.44563     0.102005
      2.44594    0.0645427
      2.44624    0.0327595
      2.44655    0.0149317
      2.44685   0.00795512
      2.44716  -0.00866190
      2.44747   -0.0390308
      2.44777   -0.0460865
      2.44808   -0.0161162
      2.44838    0.0223609
      2.44869    0.0303406
      2.44900 -0.000356909
      2.44930   -0.0494117
      2.44961   -0.0830254
      2.44991   -0.0938410
      2.45022   -0.0882186
      2.45053   -0.0676335
      2.45083   -0.0488875
      2.45114   -0.0606396
      2.45145   -0.0861505
      2.45175   -0.0907452
      2.45206   -0.0714107
      2.45237   -0.0244667
      2.45267 -0.000292377
      2.45298   0.00830323
      2.45329    0.0363605
      2.45359    0.0968063
      2.45390     0.156242
      2.45421     0.212418
      2.45451     0.265084
      2.45482     0.296642
      2.45513     0.285562
      2.45543     0.214498
      2.45574     0.102347
      2.45605  -0.00569237
      2.45635   -0.0967943
      2.45666    -0.196642
      2.45697    -0.279763
      2.45728    -0.318625
      2.45758    -0.253649
      2.45789    -0.101838
      2.45820    0.0529320
      2.45850     0.146627
      2.45881     0.181980
      2.45912     0.181497
      2.45943     0.178810
      2.45973     0.168448
      2.46004     0.143465
      2.46035     0.118700
      2.46066     0.109087
      2.46096     0.102369
      2.46127     0.100237
      2.46158     0.104670
      2.46189     0.107129
      2.46220    0.0876982
      2.46250    0.0573970
      2.46281    0.0528014
      2.46312    0.0909182
      2.46343     0.152629
      2.46373     0.207253
      2.46404     0.243817
      2.46435     0.278067
      2.46466     0.295287
      2.46497     0.289650
      2.46527     0.248754
      2.46558     0.189327
      2.46589     0.109614
      2.46620    0.0283915
      2.46651   -0.0341115
      2.46682   -0.0660716
      2.46712   -0.0582263
      2.46743  -0.00842671
      2.46774    0.0677851
      2.46805     0.155790
      2.46836     0.240972
      2.46867     0.310020
      2.46898     0.343097
      2.46928     0.335453
      2.46959     0.286030
      2.46990     0.221237
      2.47021     0.173428
      2.47052     0.143974
      2.47083     0.117496
      2.47114    0.0935647
      2.47145    0.0622725
      2.47175    0.0390286
      2.47206    0.0444997
      2.47237    0.0719184
      2.47268    0.0927080
      2.47299     0.113591
      2.47330     0.149181
      2.47361     0.202638
      2.47392     0.255202
      2.47423     0.297944
      2.47454     0.324234
      2.47485     0.334083
      2.47516     0.327678
      2.47547     0.311118
      2.47577     0.278490
      2.47608     0.228633
      2.47639     0.178351
      2.47670     0.156645
      2.47701     0.171291
      2.47732     0.208329
      2.47763     0.255706
      2.47794     0.302966
      2.47825     0.349798
      2.47856     0.369970
      2.47887     0.340195
      2.47918     0.261495
      2.47949     0.171371
      2.47980     0.106208
      2.48011    0.0760355
      2.48042    0.0650224
      2.48073    0.0453365
      2.48104   0.00560248
      2.48135   -0.0466502
      2.48166    0.0276027
      2.48197    0.0981627
      2.48228     0.203974
      2.48259     0.298615
      2.48290     0.159374
      2.48321     0.113108
      2.48352  -0.00535583
      2.48383    0.0175381
      2.48414     0.148743
      2.48445     0.333662
      2.48477     0.301559
      2.48508     0.199662
      2.48539     0.209945
      2.48570     0.210955
      2.48601     0.207350
      2.48632     0.178541
      2.48663     0.146028
      2.48694     0.130050
      2.48725     0.139288
      2.48756     0.176189
      2.48787     0.218390
      2.48818     0.240101
      2.48850     0.230695
      2.48881     0.206456
      2.48912     0.192142
      2.48943     0.175710
      2.48974     0.144148
      2.49005    0.0973216
      2.49036    0.0485125
      2.49067    0.0372406
      2.49099    0.0652926
      2.49130     0.100657
      2.49161     0.122230
      2.49192     0.131039
      2.49223     0.151074
      2.49254     0.175108
      2.49285     0.190315
      2.49317     0.194766
      2.49348     0.195352
      2.49379     0.205261
      2.49410     0.239583
      2.49441     0.291706
      2.49472     0.340672
      2.49504     0.356040
      2.49535     0.312800
      2.49566     0.222921
      2.49597     0.126633
      2.49628    0.0443755
      2.49660   -0.0213340
      2.49691   -0.0602532
      2.49722   -0.0573688
      2.49753   -0.0128367
      2.49784    0.0607987
      2.49816     0.144609
      2.49847     0.225324
      2.49878     0.261493
      2.49909     0.245712
      2.49941     0.213384
      2.49972     0.177319
      2.50003     0.138396
      2.50034     0.105111
      2.50066    0.0901831
      2.50097    0.0773148
      2.50128    0.0589516
      2.50159    0.0330167
      2.50191    0.0119327
      2.50222   0.00980468
      2.50253    0.0249946
      2.50285    0.0601317
      2.50316     0.102056
      2.50347     0.130326
      2.50378     0.134408
      2.50410     0.108274
      2.50441    0.0745083
      2.50472    0.0645232
      2.50504    0.0836239
      2.50535     0.102943
      2.50566     0.105155
      2.50598     0.114177
      2.50629     0.144718
      2.50660     0.196322
      2.50692     0.240397
      2.50723     0.255550
      2.50754     0.242113
      2.50786     0.212918
      2.50817     0.145441
      2.50848    0.0537407
      2.50880   -0.0241156
      2.50911   -0.0692347
      2.50942   -0.0809255
      2.50974   -0.0747872
      2.51005   -0.0812451
      2.51037    -0.123325
      2.51068    -0.179834
      2.51099    -0.205344
      2.51131    -0.171852
      2.51162   -0.0989548
      2.51193   -0.0419885
      2.51225   -0.0423324
      2.51256   -0.0976802
      2.51288    -0.163721
      2.51319    -0.195331
      2.51351    -0.186301
      2.51382    -0.164547
      2.51413    -0.146097
      2.51445    -0.133204
      2.51476    -0.125467
      2.51508    -0.128556
      2.51539    -0.135803
      2.51571    -0.144119
      2.51602    -0.139874
      2.51633    -0.128568
      2.51665    -0.103011
      2.51696   -0.0693685
      2.51728   -0.0460790
      2.51759   -0.0441252
      2.51791   -0.0488098
      2.51822   -0.0265742
      2.51854    0.0327078
      2.51885     0.105481
      2.51917     0.155596
      2.51948     0.167159
      2.51980     0.172852
      2.52011     0.189562
      2.52043     0.208763
      2.52074     0.200557
      2.52106     0.164546
      2.52137     0.130763
      2.52169     0.126063
      2.52200     0.144274
      2.52232     0.154354
      2.52263     0.155997
      2.52295     0.160462
      2.52326     0.166152
      2.52358     0.162766
      2.52389     0.161464
      2.52421     0.171086
      2.52453     0.170697
      2.52484     0.146570
      2.52516     0.120260
      2.52547     0.102372
      2.52579    0.0775073
      2.52610    0.0601452
      2.52642    0.0747315
      2.52674     0.130069
      2.52705     0.205711
      2.52737     0.272271
      2.52768     0.297532
      2.52800     0.257956
      2.52832     0.175692
      2.52863    0.0808477
      2.52895  -0.00358935
      2.52926   -0.0648113
      2.52958   -0.0987778
      2.52990    -0.100127
      2.53021   -0.0599975
      2.53053    0.0206919
      2.53085     0.129186
      2.53116     0.242314
      2.53148     0.301716
      2.53179     0.264611
      2.53211     0.145192
      2.53243    0.0404636
      2.53274   0.00205256
      2.53306    0.0139497
      2.53338    0.0400100
      2.53369    0.0651754
      2.53401    0.0890478
      2.53433     0.116358
      2.53464     0.152672
      2.53496     0.187759
      2.53528     0.199074
      2.53559     0.186338
      2.53591     0.167503
      2.53623     0.140961
      2.53655     0.102896
      2.53686    0.0756158
      2.53718    0.0779626
      2.53750     0.125005
      2.53781     0.209925
      2.53813     0.308226
      2.53845     0.401143
      2.53877     0.516302
      2.53908     0.630196
      2.53940     0.746819
      2.53972     0.820515
      2.54004     0.809078
      2.54035     0.708921
      2.54067     0.564043
      2.54099     0.428448
      2.54131     0.360566
      2.54162     0.417804
      2.54194     0.573662
      2.54226     0.752723
      2.54258     0.865343
      2.54290     0.898618
      2.54321     0.840743
      2.54353     0.756548
      2.54385     0.638489
      2.54417     0.510379
      2.54449     0.411770
      2.54480     0.342805
      2.54512     0.299511
      2.54544     0.260314
      2.54576     0.200180
      2.54608     0.128537
      2.54639    0.0628282
      2.54671    0.0716766
      2.54703     0.155419
      2.54735     0.249868
      2.54767     0.274013
      2.54799     0.243965
      2.54830     0.229676
      2.54862     0.270655
      2.54894     0.341894
      2.54926     0.399378
      2.54958     0.447663
      2.54990     0.505276
      2.55022     0.546848
      2.55054     0.534312
      2.55085     0.469741
      2.55117     0.373931
      2.55149     0.270500
      2.55181     0.189227
      2.55213     0.136492
      2.55245    0.0985790
      2.55277    0.0436740
      2.55309  -0.00604644
      2.55341   -0.0336817
      2.55373   -0.0243788
      2.55404    0.0138113
      2.55436    0.0528853
      2.55468    0.0895342
      2.55500     0.125127
      2.55532     0.163748
      2.55564     0.191285
      2.55596     0.196197
      2.55628     0.177780
      2.55660     0.143966
      2.55692     0.132909
      2.55724     0.146027
      2.55756     0.158844
      2.55788     0.160250
      2.55820     0.170516
      2.55852     0.205388
      2.55884     0.243018
      2.55916     0.232261
      2.55948     0.164579
      2.55980    0.0928106
      2.56012    0.0699209
      2.56044    0.0993796
      2.56076     0.140304
      2.56108     0.141349
      2.56140     0.108441
      2.56172    0.0747345
      2.56204    0.0609597
      2.56236    0.0883347
      2.56268     0.144716
      2.56300     0.201806
      2.56332     0.247551
      2.56364     0.301991
      2.56396     0.362513
      2.56428     0.393549
      2.56460     0.359523
      2.56492     0.258271
      2.56524     0.128972
      2.56556    0.0111970
      2.56588   -0.0725116
      2.56621    -0.113817
      2.56653    -0.110561
      2.56685   -0.0701806
      2.56717  -0.00546903
      2.56749    0.0636166
      2.56781     0.116737
      2.56813     0.157580
      2.56845     0.190906
      2.56877     0.243542
      2.56909     0.306320
      2.56942     0.355908
      2.56974     0.361450
      2.57006     0.325332
      2.57038     0.276130
      2.57070     0.241662
      2.57102     0.205310
      2.57134     0.158439
